gid,study_patch,annual_mean_temp,annual_precip,patch_colour,patch_cover_100,patch_height,shrubland_cover_750,slope_750,urban_cover_750,visitation_rate,water_shore_length
1,Aero1,-0.023244129,-1.678335886,1,-1.542484897,0.78511774,2.714892399,-1.529312698,-0.75106544,-0.447163702,-1.628777359
2,Aero2,-0.2163492,-1.56394516,0,-1.242580179,-0.361191867,2.378658272,-1.297678125,-0.731313552,-0.381714109,-1.628777359
3,Blest1,0.169860942,3.572743143,0,-1.698302057,-0.161019713,0.981114449,1.824196537,-0.75106544,1.168651331,0.718347909
4,Blest2,-0.795664414,3.098838708,0,0.929252733,-0.52392175,0.679153305,0.552578986,-0.625753532,-0.229386464,2.442151686
5,Coihues1,-0.2163492,-0.583453225,1,0.510479244,0.746235379,-0.568185896,-0.297889931,1.850427443,-0.231009532,0.435989935
6,Coihues2,0.169860942,-0.349224597,1,0.096819113,1.160980564,-0.901091585,-0.192841444,1.301699648,-0.391275828,0.539187934
7,Coihues3,0.169860942,-0.343777419,1,0.39470316,0.759196166,0.134940859,0.011366553,0.223729675,-0.160646756,-0.358863833
8,Dina1,-0.023244129,-1.809068144,1,-0.937763784,-0.72121373,1.366125482,-0.165395096,-0.240635007,0.200477489,-0.295738885
9,Dina2,0.362966014,-1.612969757,1,0.030485727,-0.30358837,0.442873087,-0.683486432,1.670456935,-0.385364999,-0.252230006
10,Dina3,0.749176156,-1.504026209,1,0.590064853,-0.964588509,-1.302757537,-2.067824298,2.199624141,-1.082689181,0.471349036
11,Dina4,0.749176156,-1.449554435,1,-1.01298021,0.790878089,0.748280267,-1.975713368,0.099118271,-0.753173196,0.685229184
12,Dina4bis,0.749176156,-1.449554435,1,-0.913248832,0.301248357,0.893589283,-2.079976121,0.393867913,-0.899778487,0.512839524
13,Dina5,0.362966014,-1.525814918,1,-0.098750381,-0.472078601,0.32522058,-1.453624755,0.931900245,-0.507722677,-0.275250752
14,Dina6,0.169860942,-1.433212902,0,0.639756221,1.770137554,0.302516486,-1.573201615,1.116263933,-0.898638564,-0.304987355
15,Dina7,0.362966014,-1.346058064,1,1.29986651,-0.342470731,0.509427346,-1.631395857,1.134701947,-1.054895109,-0.718082086
16,Dina9,0.556071085,-1.057357661,1,1.808299757,-1.39805483,0.260130834,-1.583202698,1.812147011,-0.548856392,-0.122504679
17,Llao1,0.362966014,0.342566935,1,0.374192447,0.266686259,-1.756190702,0.056489717,0.060272767,-0.498547586,1.822594548
18,Llao10,0.556071085,0.511429435,1,0.882881645,0.258045735,-1.756190702,-0.862314111,1.082147323,-0.954096708,2.822942885
19,Llao11,-0.023244129,0.064760887,1,0.553075857,0.577745148,-0.568297075,-0.301234011,1.200714752,-0.577927699,-0.949864819
20,Llao12,0.362966014,0.173704435,1,1.021246813,1.847902277,-0.002758348,0.03057551,0.31098872,-0.350519142,0.381228908
21,Llao13,0.556071085,0.168257258,1,-0.207099304,-0.290627583,-0.471253532,0.295890953,-0.105004104,-0.007841559,0.648744941
22,Llao14,0.556071085,0.053866532,1,-0.266501462,-1.00347087,-0.971114393,-1.327158092,0.539851528,0.631701622,-0.062623234
23,Llao15,0.556071085,-0.027841129,0,0.888004125,-0.562804111,-0.053876988,-1.58882547,1.239757309,-0.599608182,-0.11074849
24,Llao16,0.556071085,-0.218492339,1,1.762527969,-0.149679024,0.009955537,-1.252635408,1.514744644,-0.742652304,0.165641741
25,Llao17,0.169860942,-0.458168145,1,1.512593222,-0.459117814,0.147291197,-1.144556856,1.857349854,-1.005670039,-0.615448368
26,Llao2,0.556071085,0.587689919,1,-0.299001138,-0.757215916,-1.756190702,0.672693225,-0.655856088,-0.407975203,0.20564531
27,Llao20,0.556071085,-0.686949596,1,-0.290282706,1.329470795,-0.276133991,-0.094143353,1.191292323,-0.600867193,-0.276553796
28,Llao21,-0.795664414,-1.139065322,1,0.169655944,-0.420235453,0.25265514,0.774000012,1.381401078,0.483203464,-1.628777359
29,Llao3,-0.2163492,0.369802822,1,-1.678006713,0.499980426,-1.091908241,0.245863097,0.253795743,-0.055108794,-0.648570279
30,Llao4,0.362966014,0.778341129,0,-1.007209192,0.551823574,0.243923456,1.029436676,-0.75106544,0.395439924,0.514228899
31,Llao5,0.556071085,1.088830241,1,1.312352869,0.603666722,0.010043361,1.360818258,-0.591986206,-0.958524141,2.260194984
32,Llao6,0.556071085,1.088830241,1,-1.465881814,-0.549843324,-1.756190702,-0.165201823,-0.639716164,-1.128351995,2.465095942
33,Llao7,0.169860942,0.734763709,1,0.582146006,-0.316549157,-1.034144425,-0.234709862,-0.75106544,-0.836599233,0.321334455
34,Llao8,0.556071085,0.767446774,1,-1.23035312,-0.627608046,-1.756190702,0.314232107,-0.036518531,-0.128165616,-0.356547562
35,Llao8bis,0.362966014,0.538665322,0,0.281581416,1.770137554,-1.756190702,-0.686274604,0.765304139,-0.81156466,1.647762506
36,Llao9,0.556071085,0.631267338,1,0.527833037,0.681431444,-1.756190702,-1.067759137,1.308855378,-0.734614807,2.695685566
37,Manso1,1.135386298,0.565901209,1,0.899489868,-0.277666796,0.667797632,1.913904728,-0.290912328,1.686145525,-0.229330588
38,Manso10,-1.954294841,-0.44727379,0,-2.64811461,-1.444137629,2.318525904,0.221193561,-0.75106544,1.568174564,-0.4555003
39,Manso11,-1.181874556,-0.196703629,0,-1.903105483,-1.488574612,2.423674507,0.779916964,-0.75106544,1.679767943,-1.628777359
40,Manso12,-1.374979628,-0.185809274,0,-2.735642733,-0.994830346,1.076516045,1.023204129,-0.75106544,1.338275321,0.071859046
41,Manso13,-2.726715126,-0.474509677,1,-1.008167506,-0.640568833,0.090272624,1.767457342,-0.75106544,0.15215787,0.62211595
42,Manso14,-0.409454271,0.233623387,1,-0.019446269,1.057294268,0.320029033,1.645354414,-0.75106544,-0.064724936,0.957155438
43,Manso15,-2.340504984,-0.3002,1,0.193928797,0.43517649,0.439741922,1.666481848,-0.75106544,0.243239388,-0.257764448
44,Manso16,-0.602559343,0.35346129,1,-0.211777831,-0.1739805,0.68822177,0.049099343,-0.75106544,-0.982445023,1.474485622
45,Manso17,-1.954294841,-0.164020564,0,1.232441647,-1.171961101,-0.169024297,0.790108191,-0.596001241,-1.344142936,-0.788857101
46,Manso17bis,-0.988769485,0.200940322,1,0.250280089,-1.495980777,-1.079717449,0.345583249,-0.493708415,-1.434205842,1.329842003
47,Manso18,-0.023244129,0.516876613,1,0.025848408,0.059313667,-1.089731195,0.84134112,-0.68919506,-0.928536124,0.333860854
48,Manso19,-0.023244129,0.386144355,0,0.182177797,0.422215703,-1.756190702,1.193998912,-0.712216132,-0.694630744,-0.279484325
49,Manso2,2.294016726,0.990781048,1,0.595319121,2.340412184,0.415505389,1.191926884,-0.200606699,1.583298257,0.729508196
50,Manso20,-0.023244129,0.380697177,1,0.793241833,-0.316549157,-0.383051996,1.397643322,-0.75106544,-1.289008996,0.480235285
51,Manso21,-0.023244129,0.380697177,1,-1.413118307,0.17596075,0.004687606,1.044202094,-0.75106544,-0.095581283,-0.115889678
52,Manso22,-0.2163492,0.277200806,0,0.812398076,-0.575764898,0.845390319,1.067778291,-0.710038094,0.106144514,-0.329707116
53,Manso23,-0.409454271,0.200940322,1,0.088323014,0.098196028,0.88410999,1.546727668,-0.652941902,1.268475423,-1.628777359
54,Manso24,-1.181874556,-0.387354838,0,0.454397759,0.953607972,0.157898573,0.806682297,-0.75106544,1.708617161,0.305251305
55,Manso25,-0.023244129,-0.1313375,1,0.864630998,0.538862787,-0.627109848,0.418128015,-0.75106544,-0.390001339,-0.116202369
56,Manso26,-0.023244129,-0.267516935,1,0.530360242,0.150039176,-0.752021724,0.608010398,-0.75106544,-0.072220254,0.893570306
